Nama Pemilik,Jenis Pemilik,Nomor Polisi,Provinsi,Alamat Pemilik,Nomor HP,Golongan,Jenis Plat,Tgl Transaksi Terakhir,Tgl Jatuh Tempo,Status Kendaraan,Status Kunjungan
PT SURYA MADISTRINDO,Perusahaan,BL-8174-NG,ACEH,JL. MEDAN-B. ACEH DSN. TGK. DIBANGKA DS. GP. MNS. MESJID KEC. MUA,81251111149,DP,Hitam - Kendaraan Pribadi,2025-11-04,2026-07-31,BELUM LUNAS,BELUM DIKUNJUNGI
PT SURYA MADISTRINDO,Perusahaan,BL-8169-NG,ACEH,JL. MEDAN - B. ACEH DSN. TGK DI BANGKA GP. MNS MESJID KEC. MUARA,81251111149,DP,Hitam - Kendaraan Pribadi,2025-10-14,2026-07-31,BELUM LUNAS,BELUM DIKUNJUNGI
PT SURYA KANDILA,Perusahaan,BL-1712-NF,ACEH,JL. MALIKUSSALEH KEL. LANCANG GARAM KEC. BANDA SAKTI KOTA LHOKSEU,8578958553,DP,Hitam - Kendaraan Pribadi,2026-06-18,2026-07-14,BELUM LUNAS,BELUM DIKUNJUNGI
PT SURYA KANDILA,Perusahaan,BL-8329-NF,ACEH,JL. MALIKUSSALEH KEL. LANCANG GARAM KEC. BANDA SAKTI KOTA LHOKSEU,8653232756,F,Hitam - Kendaraan Pribadi,2024-10-21,2025-09-05,BELUM LUNAS,BELUM DIKUNJUNGI
PT SUMATRA TOBACCO TRADING COMPANY,Perusahaan,BL-8117-N,ACEH,JL. MERDEKA NO. 7 KEC. BANDA SAKTI KOTA LHOKSEUMAWE,0,DP,Hitam - Kendaraan Pribadi,2025-12-29,2026-06-23,BELUM LUNAS,BELUM DIKUNJUNGI
PT SUMATERA TOBACCO TRADING COMPAN,Perusahaan,BL-8125-N,ACEH,JL. MERDEKA NO. 7 KEC. BANDA SAKTI KOTA LHOKSEUMAWE,85260121700,F,Hitam - Kendaraan Pribadi,2025-05-26,2026-06-24,BELUM LUNAS,BELUM DIKUNJUNGI
PT SINAR MUTIARA JAYA,Perusahaan,BL-9211-DB,ACEH,JL. BANDA ACEH - MEDAN KEL. JULOK TUNONG KEC. JULOK KAB. ACEH TIM,82356487457,A,Hitam - Kendaraan Pribadi,2024-11-01,2025-12-10,BELUM LUNAS,BELUM DIKUNJUNGI
PT SINAR MITRA SEPADAN FINANCE,Perusahaan,BL-1261-NJ,ACEH,JL. DARUSSALAM NO. 45 KEL. HAGU SELATAN KEC. BANDA SAKTI KOTA LHO,0,DP,Hitam - Kendaraan Pribadi,2025-12-10,2026-04-16,BELUM LUNAS,BELUM DIKUNJUNGI
PTSERBA CEMERLANG,Perusahaan,BL-8732-NP,ACEH,"JL. KAMBOJA NO.101 B, KEL. KUTA BLANG KEC. BANDA SAKTI KOTA LHOKS",0,F,Kuning - Kendaraan Umum,2024-07-26,2025-10-01,BELUM LUNAS,BELUM DIKUNJUNGI
PT SERBA CEMERLANG,Perusahaan,BL-8524-NP,ACEH,JL. KAMBOJA NO. 101 B KEL. KUTA BLANG KEC. BANDA SAKTI KOTA LHOKS,81234567,F,Kuning - Kendaraan Umum,2024-12-30,2025-09-16,BELUM LUNAS,BELUM DIKUNJUNGI
